DataElement,DomainLabel,DomainCode
NA,No Match / Unsure,0
AVAIL_FROM_DT,Metadata,1
ALF_E,ID,2
MOTHER_ALF_E,ID,2
CHILD_ALF_E,ID,2
RALF,ID,2
ALF_STS_CD,ID,2
MOTHER_ALF_STS_CD,ID,2
CHILD_ALF_STS_CD,ID,2
ALF_MTCH_PCT,ID,2
MOTHER_ALF_MTCH_PCT,ID,2
CHILD_ALF_MTCH_PCT,ID,2
SERVICE_USER_LOCAL_ID_E,ID,2
MAT_SERVICE_USER_LOCAL_ID_E,ID,2
CLIENT_ID_E,ID,2
AGE,Demographics,3
MAT_AGE,Demographics,3
MAT_AGE_AT_ASS,Demographics,3
CONTACT_AGE,Demographics,3
WOB,Demographics,3
MAT_WOB,Demographics,3
SEX,Demographics,3
SERVICE_USER_SEX_CD,Demographics,3
NENONATE_SEX_CD,Demographics,3
GENDER,Demographics,3
GNDR,Demographics,3
GNDR_CD,Demographics,3